waypoint1	waypoint2	distance_m	duration_s
Crater Lake, Oregon	Shenandoah, Virginia	4473208	149222
Crater Lake, Oregon	Theodore Roosevelt, North Dakota	2093505	70835
Crater Lake, Oregon	Voyageurs, Minnesota	3037130	102979
Crater Lake, Oregon	White Sands, New Mexico	2377230	82988
Wind Cave, South Dakota	Crater Lake, Oregon	2087071	71392
Crater Lake, Oregon	Yellowstone, Wyoming	1279724	44397
Crater Lake, Oregon	Yosemite, California	757735	30103
Zion, Utah	Crater Lake, Oregon	1400028	50669
Cuyahoga Valley, Ohio	Death Valley, California	3571583	116942
Cuyahoga Valley, Ohio	Everglades, Florida	1980748	66063
Cuyahoga Valley, Ohio	Great Sand Dunes, Colorado	2373364	79546
Cuyahoga Valley, Ohio	Great Smoky Mountains, North Carolina	855363	30007
Cuyahoga Valley, Ohio	Gateway Arch, Missouri	874523	29781
Cuyahoga Valley, Ohio	Glacier, Montana	2969867	98723
Cuyahoga Valley, Ohio	Grand Canyon, Arizona	3205052	105836
Cuyahoga Valley, Ohio	Great Basin, Nevada	3382851	111055
Cuyahoga Valley, Ohio	Guadalupe Mountains, Texas	2610469	87514
Cuyahoga Valley, Ohio	Hot Springs, Arkansas	1455398	48404
Cuyahoga Valley, Ohio	Indiana Dunes, Indiana	493363	17032
Cuyahoga Valley, Ohio	Joshua Tree, California	3633734	119975
Cuyahoga Valley, Ohio	Kings Canyon, California	4015174	133017
Cuyahoga Valley, Ohio	Lassen Volcanic, California	3848166	126149
Cuyahoga Valley, Ohio	Mammoth Cave, Kentucky	685047	23344
Cuyahoga Valley, Ohio	Mesa Verde, Colorado	2666466	92079
Cuyahoga Valley, Ohio	Mount Rainier, Washington	3967596	133458
Cuyahoga Valley, Ohio	North Cascades, Washington	3779093	127088
Cuyahoga Valley, Ohio	Petrified Forest, Arizona	2902179	95491
Cuyahoga Valley, Ohio	Pinnacles, California	4109110	135254
Cuyahoga Valley, Ohio	Redwood, California	3999030	131063
Cuyahoga Valley, Ohio	Rocky Mountain, Colorado	2196543	73275
Cuyahoga Valley, Ohio	Saguaro, Arizona	3195710	106416
Cuyahoga Valley, Ohio	Sequoia, California	3956197	130877
Cuyahoga Valley, Ohio	Shenandoah, Virginia	581268	21305
Cuyahoga Valley, Ohio	Theodore Roosevelt, North Dakota	2113061	69610
Cuyahoga Valley, Ohio	Voyageurs, Minnesota	1542639	52942
Cuyahoga Valley, Ohio	White Sands, New Mexico	2728962	91229
Cuyahoga Valley, Ohio	Wind Cave, South Dakota	2088177	68750
Cuyahoga Valley, Ohio	Yellowstone, Wyoming	2715867	90795
Cuyahoga Valley, Ohio	Yosemite, California	3694204	122695
Cuyahoga Valley, Ohio	Zion, Utah	3118555	103424
Death Valley, California	Everglades, Florida	4301042	142305
Great Sand Dunes, Colorado	Death Valley, California	1343812	49369
Great Smoky Mountains, North Carolina	Death Valley, California	3441906	114753
Gateway Arch, Missouri	Death Valley, California	2793820	91026
Death Valley, California	Glacier, Montana	1834056	61030
Death Valley, California	Grand Canyon, Arizona	643678	23131
Death Valley, California	Great Basin, Nevada	655417	23452
Death Valley, California	Guadalupe Mountains, Texas	1542521	52412
Hot Springs, Arkansas	Death Valley, California	2486784	85155
Indiana Dunes, Indiana	Death Valley, California	3086602	100517
Death Valley, California	Joshua Tree, California	417712	15602
Kings Canyon, California	Death Valley, California	561440	21640
Death Valley, California	Lassen Volcanic, California	805893	29606
Death Valley, California	Mammoth Cave, Kentucky	3225666	106364
Mesa Verde, Colorado	Death Valley, California	1023761	36196
Mount Rainier, Washington	Death Valley, California	1660911	60832
Death Valley, California	North Cascades, Washington	1828108	65956
Death Valley, California	Petrified Forest, Arizona	783003	26860
Pinnacles, California	Death Valley, California	623870	24115
Redwood, California	Death Valley, California	773850	28024
Death Valley, California	Rocky Mountain, Colorado	1472013	50583
Death Valley, California	Saguaro, Arizona	845991	29605
Death Valley, California	Sequoia, California	502463	19500
Death Valley, California	Shenandoah, Virginia	3961240	131081
Death Valley, California	Theodore Roosevelt, North Dakota	2125232	71680
Death Valley, California	Voyageurs, Minnesota	3075745	103466
Death Valley, California	White Sands, New Mexico	1354266	46046
Wind Cave, South Dakota	Death Valley, California	1847928	61403
Yellowstone, Wyoming	Death Valley, California	1306595	44487
Yosemite, California	Death Valley, California	370969	14011
Zion, Utah	Death Valley, California	481371	17268
Great Sand Dunes, Colorado	Everglades, Florida	3274311	109050
Great Smoky Mountains, North Carolina	Everglades, Florida	1393078	47721
Gateway Arch, Missouri	Everglades, Florida	1985738	64856
Everglades, Florida	Glacier, Montana	4570226	150003
Grand Canyon, Arizona	Everglades, Florida	3836405	126573
Great Basin, Nevada	Everglades, Florida	4707220	153886
Everglades, Florida	Guadalupe Mountains, Texas	2991524	98020
Hot Springs, Arkansas	Everglades, Florida	2025280	66070
Indiana Dunes, Indiana	Everglades, Florida	2215618	72454
Everglades, Florida	Joshua Tree, California	4290302	138834
Kings Canyon, California	Everglades, Florida	4679424	155655
Everglades, Florida	Lassen Volcanic, California	5046055	168063
Everglades, Florida	Mammoth Cave, Kentucky	1641635	53584
Mesa Verde, Colorado	Everglades, Florida	3569829	119141
Mount Rainier, Washington	Everglades, Florida	5394183	179693
Everglades, Florida	North Cascades, Washington	5271579	174740
Petrified Forest, Arizona	Everglades, Florida	3533532	116229
Pinnacles, California	Everglades, Florida	4741854	158130
Redwood, California	Everglades, Florida	4891834	162039
Rocky Mountain, Colorado	Everglades, Florida	3449947	112361
Everglades, Florida	Saguaro, Arizona	3629048	117280
Sequoia, California	Everglades, Florida	4620447	153515
Shenandoah, Virginia	Everglades, Florida	1692942	56126
Everglades, Florida	Theodore Roosevelt, North Dakota	3808182	123406
Everglades, Florida	Voyageurs, Minnesota	3237760	106739
Everglades, Florida	White Sands, New Mexico	3244408	104966
Wind Cave, South Dakota	Everglades, Florida	3470838	116041
Yellowstone, Wyoming	Everglades, Florida	4042722	135157
Yosemite, California	Everglades, Florida	4653297	154491
Zion, Utah	Everglades, Florida	3975751	132731
Great Smoky Mountains, North Carolina	Great Sand Dunes, Colorado	2365573	79875
Great Sand Dunes, Colorado	Gateway Arch, Missouri	1512052	50563
Great Sand Dunes, Colorado	Glacier, Montana	1813668	59728
Great Sand Dunes, Colorado	Grand Canyon, Arizona	903961	34269
Great Sand Dunes, Colorado	Great Basin, Nevada	1458154	51667
Great Sand Dunes, Colorado	Guadalupe Mountains, Texas	802860	29100
Hot Springs, Arkansas	Great Sand Dunes, Colorado	1419312	51032
Great Sand Dunes, Colorado	Indiana Dunes, Indiana	1919462	65087
Great Sand Dunes, Colorado	Joshua Tree, California	1332643	48409
Kings Canyon, California	Great Sand Dunes, Colorado	1746980	63351
Great Sand Dunes, Colorado	Lassen Volcanic, California	1848159	66711
Great Sand Dunes, Colorado	Mammoth Cave, Kentucky	1973861	67128
Great Sand Dunes, Colorado	Mesa Verde, Colorado	320375	13407
Mount Rainier, Washington	Great Sand Dunes, Colorado	2212268	79782
Great Sand Dunes, Colorado	North Cascades, Washington	2285674	81871
Great Sand Dunes, Colorado	Petrified Forest, Arizona	641305	25145
Pinnacles, California	Great Sand Dunes, Colorado	1809410	65826
Redwood, California	Great Sand Dunes, Colorado	1959390	69735
Great Sand Dunes, Colorado	Rocky Mountain, Colorado	482779	17788
Great Sand Dunes, Colorado	Saguaro, Arizona	1081923	37214
Great Sand Dunes, Colorado	Sequoia, California	1688003	61211
Great Sand Dunes, Colorado	Shenandoah, Virginia	2727943	91363
Great Sand Dunes, Colorado	Theodore Roosevelt, North Dakota	1335334	45706
Great Sand Dunes, Colorado	Voyageurs, Minnesota	2163475	73210
Great Sand Dunes, Colorado	White Sands, New Mexico	705857	26073
Wind Cave, South Dakota	Great Sand Dunes, Colorado	925740	31474
Great Sand Dunes, Colorado	Yellowstone, Wyoming	1113909	41596
Great Sand Dunes, Colorado	Yosemite, California	1624548	58567
Zion, Utah	Great Sand Dunes, Colorado	849127	32440
Great Smoky Mountains, North Carolina	Gateway Arch, Missouri	856101	29797
Great Smoky Mountains, North Carolina	Glacier, Montana	3359980	112465
Great Smoky Mountains, North Carolina	Grand Canyon, Arizona	2981900	98921
Great Smoky Mountains, North Carolina	Great Basin, Nevada	3577583	118828
Great Smoky Mountains, North Carolina	Guadalupe Mountains, Texas	2255965	76207
Hot Springs, Arkansas	Great Smoky Mountains, North Carolina	1007611	34842
Great Smoky Mountains, North Carolina	Indiana Dunes, Indiana	911096	31893
Great Smoky Mountains, North Carolina	Joshua Tree, California	3410583	113077
Kings Canyon, California	Great Smoky Mountains, North Carolina	3824920	128019
Great Smoky Mountains, North Carolina	Lassen Volcanic, California	4042897	133923
Great Smoky Mountains, North Carolina	Mammoth Cave, Kentucky	389527	16463
Great Smoky Mountains, North Carolina	Mesa Verde, Colorado	2715324	91492
Mount Rainier, Washington	Great Smoky Mountains, North Carolina	4264546	144630
Great Smoky Mountains, North Carolina	North Cascades, Washington	4141942	139681
Great Smoky Mountains, North Carolina	Petrified Forest, Arizona	2679028	88593
Pinnacles, California	Great Smoky Mountains, North Carolina	3887350	130494
Redwood, California	Great Smoky Mountains, North Carolina	4037330	134403
Great Smoky Mountains, North Carolina	Rocky Mountain, Colorado	2320310	77298
Great Smoky Mountains, North Carolina	Saguaro, Arizona	2950192	97263
Great Smoky Mountains, North Carolina	Sequoia, California	3765943	125879
Great Smoky Mountains, North Carolina	Shenandoah, Virginia	609607	22119
Great Smoky Mountains, North Carolina	Theodore Roosevelt, North Dakota	2503174	83352
Great Smoky Mountains, North Carolina	Voyageurs, Minnesota	1932752	66684
Great Smoky Mountains, North Carolina	White Sands, New Mexico	2505810	84331
Wind Cave, South Dakota	Great Smoky Mountains, North Carolina	2341200	80982
Great Smoky Mountains, North Carolina	Yellowstone, Wyoming	2913085	100099
Great Smoky Mountains, North Carolina	Yosemite, California	3798793	126859
Zion, Utah	Great Smoky Mountains, North Carolina	3121247	105095
Gateway Arch, Missouri	Glacier, Montana	2585465	85895
Gateway Arch, Missouri	Grand Canyon, Arizona	2332073	76682
Gateway Arch, Missouri	Great Basin, Nevada	2722459	89778
Gateway Arch, Missouri	Guadalupe Mountains, Texas	1737489	58398
Hot Springs, Arkansas	Gateway Arch, Missouri	641409	22543
Gateway Arch, Missouri	Indiana Dunes, Indiana	521777	17647
Gateway Arch, Missouri	Joshua Tree, California	2760755	90821
Kings Canyon, California	Gateway Arch, Missouri	3175092	105722
Gateway Arch, Missouri	Lassen Volcanic, California	3187773	104873
Gateway Arch, Missouri	Mammoth Cave, Kentucky	465045	17270
Gateway Arch, Missouri	Mesa Verde, Colorado	1805529	63432
Mount Rainier, Washington	Gateway Arch, Missouri	3409422	115585
Gateway Arch, Missouri	North Cascades, Washington	3286818	110631
Gateway Arch, Missouri	Petrified Forest, Arizona	2029201	66295
Pinnacles, California	Gateway Arch, Missouri	3237523	108197
Redwood, California	Gateway Arch, Missouri	3338637	109786
Gateway Arch, Missouri	Rocky Mountain, Colorado	1465186	48253
Gateway Arch, Missouri	Saguaro, Arizona	2322731	77262
Gateway Arch, Missouri	Sequoia, California	3116115	103624
Gateway Arch, Missouri	Shenandoah, Virginia	1219127	41504
Gateway Arch, Missouri	Theodore Roosevelt, North Dakota	1799087	59603
Gateway Arch, Missouri	Voyageurs, Minnesota	1326063	45133
Gateway Arch, Missouri	White Sands, New Mexico	1855984	62038
Wind Cave, South Dakota	Gateway Arch, Missouri	1486076	51932
Gateway Arch, Missouri	Yellowstone, Wyoming	2057960	71049
Gateway Arch, Missouri	Yosemite, California	2973455	99646
Zion, Utah	Gateway Arch, Missouri	2340391	77551
Grand Canyon, Arizona	Glacier, Montana	2016173	67362
Great Basin, Nevada	Glacier, Montana	1453617	48317
Glacier, Montana	Guadalupe Mountains, Texas	2463732	80939
Hot Springs, Arkansas	Glacier, Montana	2860956	97029
Indiana Dunes, Indiana	Glacier, Montana	2486377	82162
Joshua Tree, California	Glacier, Montana	2032248	65998
Kings Canyon, California	Glacier, Montana	2244428	75143
Glacier, Montana	Lassen Volcanic, California	1647511	61125
Mammoth Cave, Kentucky	Glacier, Montana	3038249	100535
Mesa Verde, Colorado	Glacier, Montana	1615844	54192
Mount Rainier, Washington	Glacier, Montana	1122645	42543
Glacier, Montana	North Cascades, Washington	934142	36173
Petrified Forest, Arizona	Glacier, Montana	1908200	64145
Pinnacles, California	Glacier, Montana	2179876	72516
Redwood, California	Glacier, Montana	2069796	68325
Rocky Mountain, Colorado	Glacier, Montana	1421700	47608
Glacier, Montana	Saguaro, Arizona	2273514	75144
Sequoia, California	Glacier, Montana	2324429	76097
Shenandoah, Virginia	Glacier, Montana	3553743	119382
Theodore Roosevelt, North Dakota	Glacier, Montana	858372	29116
Voyageurs, Minnesota	Glacier, Montana	1669519	59750
Glacier, Montana	White Sands, New Mexico	2396717	79010
Wind Cave, South Dakota	Glacier, Montana	1130057	37940
Yellowstone, Wyoming	Glacier, Montana	548812	19568
Yosemite, California	Glacier, Montana	1831070	60701
Zion, Utah	Glacier, Montana	1535983	49328
Grand Canyon, Arizona	Great Basin, Nevada	1241110	42517
Grand Canyon, Arizona	Guadalupe Mountains, Texas	1075306	39446
Hot Springs, Arkansas	Grand Canyon, Arizona	2025349	69231
Indiana Dunes, Indiana	Grand Canyon, Arizona	2851585	93250
Grand Canyon, Arizona	Joshua Tree, California	610618	21315
Kings Canyon, California	Grand Canyon, Arizona	1024956	36258
Grand Canyon, Arizona	Lassen Volcanic, California	1391587	48670
Grand Canyon, Arizona	Mammoth Cave, Kentucky	2764232	90440
Mesa Verde, Colorado	Grand Canyon, Arizona	584724	20821
Mount Rainier, Washington	Grand Canyon, Arizona	2261907	79639
Grand Canyon, Arizona	North Cascades, Washington	2335313	81727
Grand Canyon, Arizona	Petrified Forest, Arizona	321569	10936
Pinnacles, California	Grand Canyon, Arizona	1087386	38733
Redwood, California	Grand Canyon, Arizona	1237366	42641
Grand Canyon, Arizona	Rocky Mountain, Colorado	1275109	46546
Grand Canyon, Arizona	Saguaro, Arizona	534076	17954
Grand Canyon, Arizona	Sequoia, California	965979	34118
Grand Canyon, Arizona	Shenandoah, Virginia	3499805	115157
Grand Canyon, Arizona	Theodore Roosevelt, North Dakota	2131942	73801
Grand Canyon, Arizona	Voyageurs, Minnesota	3066247	103563
Grand Canyon, Arizona	White Sands, New Mexico	936137	32488
Wind Cave, South Dakota	Grand Canyon, Arizona	1772857	61386
Yellowstone, Wyoming	Grand Canyon, Arizona	1483892	50658
Yosemite, California	Grand Canyon, Arizona	998829	35098
Zion, Utah	Grand Canyon, Arizona	517063	19066
Great Basin, Nevada	Guadalupe Mountains, Texas	2139371	71973
Hot Springs, Arkansas	Great Basin, Nevada	2922552	98181
Indiana Dunes, Indiana	Great Basin, Nevada	2897555	94344
Great Basin, Nevada	Joshua Tree, California	1008452	36652
Kings Canyon, California	Great Basin, Nevada	850707	30454
Great Basin, Nevada	Lassen Volcanic, California	525210	18722
Great Basin, Nevada	Mammoth Cave, Kentucky	3184747	105878
Mesa Verde, Colorado	Great Basin, Nevada	1170534	40632
Mount Rainier, Washington	Great Basin, Nevada	1082069	41516
Great Basin, Nevada	North Cascades, Washington	1249266	46639
Great Basin, Nevada	Petrified Forest, Arizona	1379853	46420
Pinnacles, California	Great Basin, Nevada	786155	27827
Redwood, California	Great Basin, Nevada	676075	23636
Great Basin, Nevada	Rocky Mountain, Colorado	1397412	47811
Great Basin, Nevada	Saguaro, Arizona	1442841	49165
Great Basin, Nevada	Sequoia, California	889046	31465
Great Basin, Nevada	Shenandoah, Virginia	3938829	130113
Great Basin, Nevada	Theodore Roosevelt, North Dakota	1747805	59011
Great Basin, Nevada	Voyageurs, Minnesota	2691430	91150
Great Basin, Nevada	White Sands, New Mexico	1951116	65607
Wind Cave, South Dakota	Great Basin, Nevada	1587219	52546
Yellowstone, Wyoming	Great Basin, Nevada	929168	31818
Yosemite, California	Great Basin, Nevada	463089	17041
Zion, Utah	Great Basin, Nevada	874642	30934
Hot Springs, Arkansas	Guadalupe Mountains, Texas	1283193	43742
Indiana Dunes, Indiana	Guadalupe Mountains, Texas	2253455	75021
Joshua Tree, California	Guadalupe Mountains, Texas	1333275	44325
Kings Canyon, California	Guadalupe Mountains, Texas	1848036	62875
Lassen Volcanic, California	Guadalupe Mountains, Texas	2291971	78436
Mammoth Cave, Kentucky	Guadalupe Mountains, Texas	2037560	67729
Mesa Verde, Colorado	Guadalupe Mountains, Texas	929590	32953
Mount Rainier, Washington	Guadalupe Mountains, Texas	2847082	101068
North Cascades, Washington	Guadalupe Mountains, Texas	2920488	103157
Petrified Forest, Arizona	Guadalupe Mountains, Texas	760183	28294
Pinnacles, California	Guadalupe Mountains, Texas	1895459	64692
Redwood, California	Guadalupe Mountains, Texas	2045439	68601
Rocky Mountain, Colorado	Guadalupe Mountains, Texas	1132143	38918
Saguaro, Arizona	Guadalupe Mountains, Texas	670046	22473
Sequoia, California	Guadalupe Mountains, Texas	1791035	61028
Shenandoah, Virginia	Guadalupe Mountains, Texas	2773134	92445
Theodore Roosevelt, North Dakota	Guadalupe Mountains, Texas	1984698	66836
Voyageurs, Minnesota	Guadalupe Mountains, Texas	2639908	87270
White Sands, New Mexico	Guadalupe Mountains, Texas	271549	9898
Wind Cave, South Dakota	Guadalupe Mountains, Texas	1575104	52604
Yellowstone, Wyoming	Guadalupe Mountains, Texas	1900381	63800
Yosemite, California	Guadalupe Mountains, Texas	1899301	64539
Zion, Utah	Guadalupe Mountains, Texas	1335512	46539
Hot Springs, Arkansas	Indiana Dunes, Indiana	1151898	38047
Hot Springs, Arkansas	Joshua Tree, California	2454066	83640
Hot Springs, Arkansas	Kings Canyon, California	2868403	98583
Hot Springs, Arkansas	Lassen Volcanic, California	3235034	110995
Hot Springs, Arkansas	Mammoth Cave, Kentucky	789341	26601
Hot Springs, Arkansas	Mesa Verde, Colorado	1758808	62072
Mount Rainier, Washington	Hot Springs, Arkansas	3609179	124164
Hot Springs, Arkansas	North Cascades, Washington	3557067	121529
Hot Springs, Arkansas	Petrified Forest, Arizona	1722511	59156
Hot Springs, Arkansas	Pinnacles, California	2930833	101058
Redwood, California	Hot Springs, Arkansas	3080813	104966
Hot Springs, Arkansas	Rocky Mountain, Colorado	1604989	55545
Hot Springs, Arkansas	Saguaro, Arizona	1977045	64773
Hot Springs, Arkansas	Sequoia, California	2809426	96443
Hot Springs, Arkansas	Shenandoah, Virginia	1524918	51321
Hot Springs, Arkansas	Theodore Roosevelt, North Dakota	2111473	71161
Hot Springs, Arkansas	Voyageurs, Minnesota	1807757	62066
Hot Springs, Arkansas	White Sands, New Mexico	1476934	51971
Wind Cave, South Dakota	Hot Springs, Arkansas	1740088	61841
Hot Springs, Arkansas	Yellowstone, Wyoming	2365013	80343
Hot Springs, Arkansas	Yosemite, California	2842276	97423
Zion, Utah	Hot Springs, Arkansas	2164730	75658
Indiana Dunes, Indiana	Joshua Tree, California	3177247	104376
Kings Canyon, California	Indiana Dunes, Indiana	3528406	116635
Indiana Dunes, Indiana	Lassen Volcanic, California	3361397	109768
Indiana Dunes, Indiana	Mammoth Cave, Kentucky	593397	20356
Indiana Dunes, Indiana	Mesa Verde, Colorado	2253749	77278
Mount Rainier, Washington	Indiana Dunes, Indiana	3482297	117232
Indiana Dunes, Indiana	North Cascades, Washington	3293794	110862
Indiana Dunes, Indiana	Petrified Forest, Arizona	2546984	83316
Pinnacles, California	Indiana Dunes, Indiana	3622342	118872
Redwood, California	Indiana Dunes, Indiana	3512261	114681
Indiana Dunes, Indiana	Rocky Mountain, Colorado	1709775	56894
Indiana Dunes, Indiana	Saguaro, Arizona	2840514	94279
Indiana Dunes, Indiana	Sequoia, California	3469428	114495
Indiana Dunes, Indiana	Shenandoah, Virginia	1076332	38049
Indiana Dunes, Indiana	Theodore Roosevelt, North Dakota	1627762	53384
Indiana Dunes, Indiana	Voyageurs, Minnesota	1057340	36717
Indiana Dunes, Indiana	White Sands, New Mexico	2373767	79054
Wind Cave, South Dakota	Indiana Dunes, Indiana	1602878	52524
Indiana Dunes, Indiana	Yellowstone, Wyoming	2230568	74569
Indiana Dunes, Indiana	Yosemite, California	3207435	106313
Zion, Utah	Indiana Dunes, Indiana	2631787	87042
Kings Canyon, California	Joshua Tree, California	551697	20673
Joshua Tree, California	Lassen Volcanic, California	1095572	38161
Joshua Tree, California	Mammoth Cave, Kentucky	3193607	104519
Mesa Verde, Colorado	Joshua Tree, California	1014099	34899
Mount Rainier, Washington	Joshua Tree, California	1968331	70164
Joshua Tree, California	North Cascades, Washington	2168729	76517
Petrified Forest, Arizona	Joshua Tree, California	750944	25014
Pinnacles, California	Joshua Tree, California	614126	23148
Redwood, California	Joshua Tree, California	764106	27057
Rocky Mountain, Colorado	Joshua Tree, California	1563810	53983
Joshua Tree, California	Saguaro, Arizona	635245	21122
Sequoia, California	Joshua Tree, California	492719	18533
Shenandoah, Virginia	Joshua Tree, California	3929180	129235
Joshua Tree, California	Theodore Roosevelt, North Dakota	2324422	76479
Joshua Tree, California	Voyageurs, Minnesota	3167542	106867
Joshua Tree, California	White Sands, New Mexico	1143520	37564
Wind Cave, South Dakota	Joshua Tree, California	1939726	64804
Yellowstone, Wyoming	Joshua Tree, California	1505785	49287
Yosemite, California	Joshua Tree, California	595239	21475
Zion, Utah	Joshua Tree, California	573168	20668
Kings Canyon, California	Lassen Volcanic, California	664646	23878
Kings Canyon, California	Mammoth Cave, Kentucky	3607891	119604
Kings Canyon, California	Mesa Verde, Colorado	1428388	50004
Mount Rainier, Washington	Kings Canyon, California	1537405	55880
Kings Canyon, California	North Cascades, Washington	1737803	62233
Kings Canyon, California	Petrified Forest, Arizona	1165232	40119
Kings Canyon, California	Pinnacles, California	276665	12558
Redwood, California	Kings Canyon, California	359398	13843
Kings Canyon, California	Rocky Mountain, Colorado	1915362	66357
Kings Canyon, California	Saguaro, Arizona	1152659	39850
Kings Canyon, California	Sequoia, California	16636	1070
Kings Canyon, California	Shenandoah, Virginia	4343469	144340
Kings Canyon, California	Theodore Roosevelt, North Dakota	2538221	85700
Kings Canyon, California	Voyageurs, Minnesota	3481846	117844
Kings Canyon, California	White Sands, New Mexico	1660934	56291
Wind Cave, South Dakota	Kings Canyon, California	2291277	77177
Kings Canyon, California	Yellowstone, Wyoming	1719584	58502
Kings Canyon, California	Yosemite, California	179294	8076
Zion, Utah	Kings Canyon, California	924720	33042
Mammoth Cave, Kentucky	Lassen Volcanic, California	3650853	120916
Mesa Verde, Colorado	Lassen Volcanic, California	1563705	55693
Mount Rainier, Washington	Lassen Volcanic, California	977232	36424
North Cascades, Washington	Lassen Volcanic, California	1177630	42776
Petrified Forest, Arizona	Lassen Volcanic, California	1532249	52540
Pinnacles, California	Lassen Volcanic, California	543456	19292
Redwood, California	Lassen Volcanic, California	417180	14692
Rocky Mountain, Colorado	Lassen Volcanic, California	1863517	62849
Saguaro, Arizona	Lassen Volcanic, California	1595237	55285
Sequoia, California	Lassen Volcanic, California	684941	24428
Shenandoah, Virginia	Lassen Volcanic, California	4404934	145150
Theodore Roosevelt, North Dakota	Lassen Volcanic, California	2213910	74048
Voyageurs, Minnesota	Lassen Volcanic, California	3157535	106192
White Sands, New Mexico	Lassen Volcanic, California	2103513	71727
Wind Cave, South Dakota	Lassen Volcanic, California	2053324	67584
Yellowstone, Wyoming	Lassen Volcanic, California	1395274	46856
Yosemite, California	Lassen Volcanic, California	484018	18842
Zion, Utah	Lassen Volcanic, California	1148270	41292
Mesa Verde, Colorado	Mammoth Cave, Kentucky	2270266	79965
Mount Rainier, Washington	Mammoth Cave, Kentucky	3874159	132117
Mammoth Cave, Kentucky	North Cascades, Washington	3751555	127164
Petrified Forest, Arizona	Mammoth Cave, Kentucky	2461131	80223
Pinnacles, California	Mammoth Cave, Kentucky	3669453	122125
Redwood, California	Mammoth Cave, Kentucky	3819433	126033
Rocky Mountain, Colorado	Mammoth Cave, Kentucky	1929923	64785
Mammoth Cave, Kentucky	Saguaro, Arizona	2732295	88894
Sequoia, California	Mammoth Cave, Kentucky	3548046	117510
Shenandoah, Virginia	Mammoth Cave, Kentucky	899906	31370
Theodore Roosevelt, North Dakota	Mammoth Cave, Kentucky	2185643	71784
Voyageurs, Minnesota	Mammoth Cave, Kentucky	1615221	55116
Mammoth Cave, Kentucky	White Sands, New Mexico	2287914	75961
Wind Cave, South Dakota	Mammoth Cave, Kentucky	1950814	68465
Yellowstone, Wyoming	Mammoth Cave, Kentucky	2522698	87582
Yosemite, California	Mammoth Cave, Kentucky	3438193	116178
Zion, Utah	Mammoth Cave, Kentucky	2805128	94084
Mount Rainier, Washington	Mesa Verde, Colorado	1925996	68797
Mesa Verde, Colorado	North Cascades, Washington	1999402	70886
Mesa Verde, Colorado	Petrified Forest, Arizona	364910	13033
Pinnacles, California	Mesa Verde, Colorado	1489424	52494
Redwood, California	Mesa Verde, Colorado	1639404	56402
Mesa Verde, Colorado	Rocky Mountain, Colorado	674191	27901
Mesa Verde, Colorado	Saguaro, Arizona	841315	28719
Mesa Verde, Colorado	Sequoia, California	1368017	47879
Mesa Verde, Colorado	Shenandoah, Virginia	3021070	103667
Mesa Verde, Colorado	Theodore Roosevelt, North Dakota	1547800	55923
Mesa Verde, Colorado	Voyageurs, Minnesota	2331267	84766
Mesa Verde, Colorado	White Sands, New Mexico	785482	26975
Wind Cave, South Dakota	Mesa Verde, Colorado	1138206	41691
Mesa Verde, Colorado	Yellowstone, Wyoming	1088145	37593
Mesa Verde, Colorado	Yosemite, California	1338276	47582
Zion, Utah	Mesa Verde, Colorado	529141	19107
Mount Rainier, Washington	North Cascades, Washington	332945	15468
Mount Rainier, Washington	Petrified Forest, Arizona	2219277	78690
Mount Rainier, Washington	Pinnacles, California	1428983	51911
Mount Rainier, Washington	Redwood, California	1302708	47311
Mount Rainier, Washington	Rocky Mountain, Colorado	2085262	73555
Mount Rainier, Washington	Saguaro, Arizona	2463632	86421
Mount Rainier, Washington	Sequoia, California	1570468	57033
Mount Rainier, Washington	Shenandoah, Virginia	4548056	154393
Mount Rainier, Washington	Theodore Roosevelt, North Dakota	1886987	64336
Mount Rainier, Washington	Voyageurs, Minnesota	2830611	96480
Mount Rainier, Washington	White Sands, New Mexico	2705987	94960
Mount Rainier, Washington	Wind Cave, South Dakota	2017291	69135
Mount Rainier, Washington	Yellowstone, Wyoming	1333478	47717
Mount Rainier, Washington	Yosemite, California	1338935	51766
Mount Rainier, Washington	Zion, Utah	1847060	63873
Petrified Forest, Arizona	North Cascades, Washington	2294155	80826
Pinnacles, California	North Cascades, Washington	1635307	58325
Redwood, California	North Cascades, Washington	1509032	53724
Rocky Mountain, Colorado	North Cascades, Washington	2122207	72521
Saguaro, Arizona	North Cascades, Washington	2538510	88556
Sequoia, California	North Cascades, Washington	1776792	63446
Shenandoah, Virginia	North Cascades, Washington	4361330	148110
Theodore Roosevelt, North Dakota	North Cascades, Washington	1700261	58053
Voyageurs, Minnesota	North Cascades, Washington	2643886	90197
White Sands, New Mexico	North Cascades, Washington	2780865	97095
Wind Cave, South Dakota	North Cascades, Washington	1830565	62852
Yellowstone, Wyoming	North Cascades, Washington	1146752	41434
Yosemite, California	North Cascades, Washington	1608900	58988
Zion, Utah	North Cascades, Washington	1921938	66008
Pinnacles, California	Petrified Forest, Arizona	1220091	42659
Redwood, California	Petrified Forest, Arizona	1370071	46567
Petrified Forest, Arizona	Rocky Mountain, Colorado	1157361	38264
Petrified Forest, Arizona	Saguaro, Arizona	400525	16533
Petrified Forest, Arizona	Sequoia, California	1098684	38044
Petrified Forest, Arizona	Shenandoah, Virginia	3178237	104221
Petrified Forest, Arizona	Theodore Roosevelt, North Dakota	2009917	66182
Petrified Forest, Arizona	Voyageurs, Minnesota	2744679	92627
